mileage,make,fuel,gear,offerType,price,hp,year
86900,Ford,Gasoline,Manual,Used,9380,101.0,2016
56617,Volkswagen,Gasoline,Manual,Used,9440,90.0,2016
70604,Toyota,Gasoline,Manual,Used,9490,69.0,2016
68656,Toyota,Gasoline,Manual,Used,9490,69.0,2016
64783,Toyota,Gasoline,Manual,Used,9490,69.0,2016
146148,Opel,Diesel,Manual,Used,9495,136.0,2016
106300,Opel,Diesel,Manual,Used,9499,160.0,2016
179200,Volkswagen,Diesel,Manual,Used,9499,120.0,2016
63000,Opel,Gasoline,Manual,Used,9500,87.0,2016
154494,Peugeot,Diesel,Manual,Used,9500,120.0,2016
72500,Suzuki,Gasoline,Manual,Used,9650,136.0,2016
93300,Opel,Diesel,Manual,Used,9680,110.0,2016
96999,Opel,Diesel,Manual,Used,9690,136.0,2016
39990,Kia,Gasoline,Manual,Used,9690,101.0,2016
66106,Audi,Gasoline,Automatic,Used,20990,150.0,2017
68000,Kia,Diesel,Automatic,Used,27928,200.0,2017
67000,Mercedes-Benz,Diesel,Automatic,Used,34900,170.0,2017
55000,Audi,Gasoline,Automatic,Used,34905,252.0,2017
32100,Mercedes-Benz,Gasoline,Automatic,Used,37931,333.0,2017
74000,smart,Gasoline,Manual,Used,5555,71.0,2017
31500,SEAT,Gasoline,Manual,Used,5780,60.0,2017
62490,SEAT,Gasoline,Manual,Used,6390,60.0,2017
100870,Volkswagen,Gasoline,Manual,Used,6445,60.0,2017
35450,Skoda,Gasoline,Manual,Used,6445,60.0,2017
65635,Volkswagen,Gasoline,Manual,Used,6490,60.0,2017
83000,Toyota,Gasoline,Manual,Used,6500,69.0,2017
35000,Dacia,Gasoline,Manual,Used,6700,90.0,2017
35093,Volkswagen,Gasoline,Manual,Used,6750,60.0,2017
66000,Fiat,Gasoline,Manual,Used,6799,69.0,2017
61000,Hyundai,Gasoline,Manual,Used,6900,67.0,2017
118759,Ford,Diesel,Manual,Used,6990,95.0,2017
31500,smart,Gasoline,Manual,Used,6999,71.0,2017
77403,Ford,Diesel,Manual,Used,7090,75.0,2017
66990,Audi,Diesel,Automatic,Used,31880,272.0,2018
73500,Audi,Diesel,Automatic,Used,31980,163.0,2018
59990,Audi,Diesel,Automatic,Used,32940,218.0,2018
79300,Mercedes-Benz,Diesel,Automatic,Used,34775,204.0,2018
46300,Audi,Diesel,Automatic,Used,34890,190.0,2018
54496,Audi,Diesel,Automatic,Used,35480,231.0,2018
51878,Volkswagen,Diesel,Automatic,Used,35490,239.0,2018
13400,Cupra,Gasoline,Automatic,Demonstration,35990,300.0,2018
85200,Volkswagen,Diesel,Automatic,Used,37700,224.0,2018
49900,Audi,Diesel,Automatic,Used,37950,320.0,2018
39580,Audi,Diesel,Automatic,Used,39444,190.0,2018
49394,Audi,Diesel,Automatic,Used,42480,190.0,2018
81750,Audi,Gasoline,Automatic,Used,42675,354.0,2018
68900,Audi,Diesel,Automatic,Used,43900,286.0,2018
72500,Audi,Gasoline,Automatic,Used,44450,354.0,2018
109590,Audi,Diesel,Automatic,Used,44850,272.0,2018
28650,BMW,Gasoline,Automatic,Used,44980,370.0,2018
93390,Audi,Diesel,Automatic,Used,44984,286.0,2018
60188,Volvo,Diesel,Automatic,Used,45990,235.0,2018
52070,BMW,Diesel,Automatic,Used,46890,265.0,2018
13710,Ford,Gasoline,Automatic,Used,26480,150.0,2019
27949,Audi,Diesel,Automatic,Used,26880,150.0,2019
22500,Ford,Gasoline,Automatic,Demonstration,26880,150.0,2019
57501,BMW,Diesel,Automatic,Used,26970,190.0,2019
34450,Volkswagen,Diesel,Automatic,Used,26980,150.0,2019
35950,Volkswagen,Diesel,Automatic,Used,27440,150.0,2019
